"","x"
"125","A Symmetry Analysis of Design Structure: 1,000 Years of Continuity and Change in Puebloan Ceramic Design; The Neolithic Demographic Transition in the U.S. Southwest"
"126","The Neolithic Demographic Transition in the U.S. Southwest; A Symmetry Analysis of Design Structure: 1,000 Years of Continuity and Change in Puebloan Ceramic Design"
"127","A Symmetry Analysis of Design Structure: 1,000 Years of Continuity and Change in Puebloan Ceramic Design; The Neolithic Demographic Transition in the U.S. Southwest"
"128","Archaeological Testing of Four Sites on Camp Bowie, Brown County, Texas; Archaeological Survey of Three Land Parcels and Shovel Testing of Four Sites at Camp Bowie, Brown County, Texas"
"129","Archaeological Survey of Three Land Parcels and Shovel Testing of Four Sites at Camp Bowie, Brown County, Texas; Archaeological Testing of Four Sites on Camp Bowie, Brown County, Texas"
"130","Archaeological Survey of Three Land Parcels and Shovel Testing of Four Sites at Camp Bowie, Brown County, Texas; Archaeological Testing of Four Sites on Camp Bowie, Brown County, Texas"
"131","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado; The Neolithic Demographic Transition in the U.S. Southwest"
"132","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado; The Neolithic Demographic Transition in the U.S. Southwest"
"133","Data Recovery Excavations at 41BX1412 A Multicomponent Site in McAllister Park, San Antonio, Bexar County, Texas; The McAllister Park Roadway System Extension Project, San Antonio, Texas"
"134","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region; The Neolithic Demographic Transition in the U.S. Southwest"
"135","The Neolithic Demographic Transition in the U.S. Southwest; Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"136","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region; The Neolithic Demographic Transition in the U.S. Southwest"
"137","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region; The Neolithic Demographic Transition in the U.S. Southwest"
"138","The Neolithic Demographic Transition in the U.S. Southwest; Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"139","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region; The Neolithic Demographic Transition in the U.S. Southwest"
"140","Archaeological Monitoring of a Parking Lot Construction Project in New Braunfels, Comal County, Texas; Archaeological Testing at Two Well Locations in New Braunfels, Comal County, Texas"
"141","An Archaeological Survey of Knollcreek Subdivision, Northeast San Antonio, Bexar County, Texas; An Archaeological Survey of Knollcreek Subdivision, Northeast San Antonio, Bexar County, Texas"
"142","An Archaeological Survey of Knollcreek Subdivision, Northeast San Antonio, Bexar County, Texas; An Archaeological Survey of Knollcreek Subdivision, Northeast San Antonio, Bexar County, Texas"
"143","10th Street Substation Excavation of the Acequia Madre (41BX8), San Antonio, Bexar County, Texas; Testing for the location of the Alamo Acequia (41BX8) at Hemisfair Plaza, San Antonio, Texas"
"144","Archaeological Testing at 41BP678, Bastrop County, Texas; An Archaeological Survey of the Proposed Location of the Bastrop City Wastewater Treatment Plant, Bastrop County, Texas"
"145","An Archaeological Survey of the Proposed Location of the Bastrop City Wastewater Treatment Plant, Bastrop County, Texas; Archaeological Testing at 41BP679, Bastrop County, Texas"
"146","The Clemente and Herminia Hinojosa Site, 41JW8: A Toyah Horizon Campsite in Southern Texas; Archaeological Research at the Hinjosa Site (41JW8), Jim Wells County, Southern Texas"
"147","Reconstructing the Paleodiet of the Caddo Through Stable Isotopes; The Evolution of a Caddo Community in Northeastern Texas: The Oak Hill Village Site (41RK214), Rusk County, Texas"
"148","Reconstructing the Paleodiet of the Caddo Through Stable Isotopes; The Evolution of a Caddo Community in Northeastern Texas: The Oak Hill Village Site (41RK214), Rusk County, Texas"
"149","Reconstructing the Paleodiet of the Caddo Through Stable Isotopes; Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"150","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits; Reconstructing the Paleodiet of the Caddo Through Stable Isotopes"
"151","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits; Reconstructing the Paleodiet of the Caddo Through Stable Isotopes"
"152","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits; Reconstructing the Paleodiet of the Caddo Through Stable Isotopes"
"153","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits; Reconstructing the Paleodiet of the Caddo Through Stable Isotopes"
"154","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"155","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"156","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits; Reconstructing the Paleodiet of the Caddo Through Stable Isotopes"
"157","Reconstructing the Paleodiet of the Caddo Through Stable Isotopes; Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"158","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits; Reconstructing the Paleodiet of the Caddo Through Stable Isotopes"
"159","An Archaeological Survey of 90 Acres at Camp Bowie, Brown County, Texas; Archaeological Testing of Four Sites on Camp Bowie, Brown County, Texas"
"160","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits; Caddo Populations in Northeast Texas: A Response to Taylor and Creel"
"161","Caddo Populations in Northeast Texas: A Response to Taylor and Creel; Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"162","Caddo Populations in Northeast Texas: A Response to Taylor and Creel; Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"163","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits; Caddo Populations in Northeast Texas: A Response to Taylor and Creel"
"164","Collapse of Crucial Resources and Culture Change: A Model for the Woodland to Oneota Transformation in the Upper Midwest"
"165","Collapse of Crucial Resources and Culture Change: A Model for the Woodland to Oneota Transformation in the Upper Midwest"
"166","Collapse of Crucial Resources and Culture Change: A Model for the Woodland to Oneota Transformation in the Upper Midwest"
"167","Collapse of Crucial Resources and Culture Change: A Model for the Woodland to Oneota Transformation in the Upper Midwest"
"168","Stable Isotope Study of Hunter-gatherer-fisher Diet, Mobility, and Intensification on the Texas Gulf Coastal Plain"
"169","Stable Isotope Study of Hunter-gatherer-fisher Diet, Mobility, and Intensification on the Texas Gulf Coastal Plain"
"170","Site Structure and Activity Organization at a Late Paleoindian Base Camp in Western Nebraska"
"171","Opportunistic Whale Hunting on the Southern Northwest Coast: Ancient DNA, Artifact, and Ethnographic Evidence"
"172","Archaeological Testing of Site 41RB31 Roberts County, Texas; Research Design for Testing Archaeological Site 41RB31 Roberts County FM 3367"
"173","The Underwater Archaeology of Paleolandscapes, Apalachee Bay, Florida; Time and Archaeological Traditions in the Lower Illinois Valley"
"174","Mortuary Features and Identity Construction in an Early Village Community in the American Southwest"
"175","A Reassessment of Red Linear Pictographs in the Lower Pecos Canyonlands of Texas"
"176","A Reassessment of Red Linear Pictographs in the Lower Pecos Canyonlands of Texas"
"177","A Reassessment of Red Linear Pictographs in the Lower Pecos Canyonlands of Texas"
"178","A Reassessment of Red Linear Pictographs in the Lower Pecos Canyonlands of Texas"
"179","Mortuary Features and Identity Construction in an Early Village Community in the American Southwest"
"180","Mortuary Features and Identity Construction in an Early Village Community in the American Southwest"
"181","Mortuary Features and Identity Construction in an Early Village Community in the American Southwest"
"182","A Reassessment of Red Linear Pictographs in the Lower Pecos Canyonlands of Texas"
"183","Results of Testing of Site 41GM23 Grimes County, Texas; Research Design and Data Recovery Plan for Archaeological Site 41GM23"
"184","A Moveable Feast: Variation in Faunal Resource Use among Central and Western North American Paleoindian Sites"
"185","A Moveable Feast: Variation in Faunal Resource Use among Central and Western North American Paleoindian Sites"
"186","A Moveable Feast: Variation in Faunal Resource Use among Central and Western North American Paleoindian Sites"
"187","The Chaco Pilgrimage Model: Evaluating the Evidence from Pueblo Alto; Pattern Symmetries of the Chaco Phenomenon"
"188","The Chaco Pilgrimage Model: Evaluating the Evidence from Pueblo Alto; Pattern Symmetries of the Chaco Phenomenon"
"189","A Middle Archaic Burial from East Central Kansas"
"190","A Middle Archaic Burial from East Central Kansas"
"191","Late Archaic Totemism in the Greater American Southwest"
"192","The Siren Site and the Long Transition from Archaic to Late Prehistoric Lifeways on the Eastern Edwards Plateau of Central Texas"
"193","Archeological Investigations at the Kitchen Branch (41CP220), B. J. Horton (41CP20), and Keering (41CP21) Sites, Big Cypress Creek Basin, Camp County, Texas"
"194","Archeological Investigations at the Kitchen Branch (41CP220), B. J. Horton (41CP20), and Keering (41CP21) Sites, Big Cypress Creek Basin, Camp County, Texas"
"195","The San Antonio River Mammoth Site: Archaeological Testing Investigations for the Interstate 37 Bridge at the San Antonio River Improvement Project, Bexar County, Texas"
"196","The San Antonio River Mammoth Site: Archaeological Testing Investigations for the Interstate 37 Bridge at the San Antonio River Improvement Project, Bexar County, Texas"
"197","Archeological Significance Testing at 41BX17/271, the Granberg Site: A Multi-Component Site along the Salado Creek in Bexar County, Texas"
"198","San Antonio Mission Trails Statewide Transportation Enhancement Project Volume II Construction Packages 2 and 3: Archaeological Testing and Monitoring Construction of the Mission Trails Hike..."
"199","San Antonio Mission Trails Statewide Transportation Enhancement Project Volume II Construction Packages 2 and 3: Archaeological Testing and Monitoring Construction of the Mission Trails Hike..."
"200","Data Recovery Investigations: Murvaul Creek Site (41PN175), Panola County, Texas"
"201","Archeological Investigations at the Santa Maria Creek Site (41CW104) Caldwell County, Texas"
"202","Archaeological Monitoring of the Urban Reach Section of the San Antonio River Improvement Project:Archaeological Monitoring of the Urban Reach Section of the San Antonio River Improvement Pr..."
"203","Archaeological Monitoring of the Urban Reach Section of the San Antonio River Improvement Project:Archaeological Monitoring of the Urban Reach Section of the San Antonio River Improvement Pr..."
"204","The Homestead of James Taylor White II: Historical, Archaeological, and Geophysical Investigations at Two Proposed Safety Rest Areas, Interstate Highway (IH) 10, Chambers County, Texas"
"205","The Homestead of James Taylor White II: Historical, Archaeological, and Geophysical Investigations at Two Proposed Safety Rest Areas, Interstate Highway (IH) 10, Chambers County, Texas"
"206","Changing Lifeways along the Guadalupe Basin in South Texas: The Results of National Register Testing of a Stratified Multicomponent Prehistoric Site, 41DW277, DeWitt County, Texas"
"207","Results of Archeological Significance Testing at 41TV410 and 41TV540 and Associated Geomorphological Investigations on a Segment of Onion Creek in Travis County, Texas"
"208","Results of Archeological Significance Testing at 41TV410 and 41TV540 and Associated Geomorphological Investigations on a Segment of Onion Creek in Travis County, Texas"
"209","Relocation of the Salvador Camarena Burial: Historical and Bioarcheological Investigations of a Mexican Migrant Worker Grave (41MV372) in Maverick County, Texas"
"210","An Intensive Pedestrian Archaeological Survey of the Salado Creek Greenway, Wetmore Avenue to Eisenhauer Road, San Antonio, Bexar County, Texas Phase II: N. E. Loop 410 to Wetmore Avenue"
"211","An Intensive Pedestrian Archaeological Survey of the Salado Creek Greenway, Wetmore Avenue to Eisenhauer Road, San Antonio, Bexar County, Texas Phase II: N. E. Loop 410 to Wetmore Avenue"
"212","An Intensive Pedestrian Archaeological Survey of the Salado Creek Greenway, Wetmore Avenue to Eisenhauer Road, San Antonio, Bexar County, Texas Phase II: N. E. Loop 410 to Wetmore Avenue"
"213","Additional Archaeological Investigations of the Propised Fulton Mansion Visitor's Center, Fulton Mansion State Historic (41AS79), Rockport, Aransas County, Texas"
"214","Archaeology of the Planned Location of the Toyota Motor Manufacturing Plant, San Antonio, Bexar County, Texas"
"215","Archaeology of the Planned Location of the Toyota Motor Manufacturing Plant, San Antonio, Bexar County, Texas"
"216","Archaeology of the Planned Location of the Toyota Motor Manufacturing Plant, San Antonio, Bexar County, Texas"
"217","Archaeology of the Planned Location of the Toyota Motor Manufacturing Plant, San Antonio, Bexar County, Texas"
"218","Archaeology of the Planned Location of the Toyota Motor Manufacturing Plant, San Antonio, Bexar County, Texas"
"219","Archaeology of the Planned Location of the Toyota Motor Manufacturing Plant, San Antonio, Bexar County, Texas"
"220","Archaeology of the Planned Location of the Toyota Motor Manufacturing Plant, San Antonio, Bexar County, Texas"
"221","Archaeology of the Planned Location of the Toyota Motor Manufacturing Plant, San Antonio, Bexar County, Texas"
"222","Archaeology of the Planned Location of the Toyota Motor Manufacturing Plant, San Antonio, Bexar County, Texas"
"223","Archaeology of the Planned Location of the Toyota Motor Manufacturing Plant, San Antonio, Bexar County, Texas"
"224","Archaeology of the Planned Location of the Toyota Motor Manufacturing Plant, San Antonio, Bexar County, Texas"
"225","Archaeology of the Planned Location of the Toyota Motor Manufacturing Plant, San Antonio, Bexar County, Texas"
"226","Archaeology of the Planned Location of the Toyota Motor Manufacturing Plant, San Antonio, Bexar County, Texas"
"227","Archaeology of the Planned Location of the Toyota Motor Manufacturing Plant, San Antonio, Bexar County, Texas"
"228","Archaeology of the Planned Location of the Toyota Motor Manufacturing Plant, San Antonio, Bexar County, Texas"
"229","Archaeology of the Planned Location of the Toyota Motor Manufacturing Plant, San Antonio, Bexar County, Texas"
"230","Archaeology of the Planned Location of the Toyota Motor Manufacturing Plant, San Antonio, Bexar County, Texas"
"231","Archaeology of the Planned Location of the Toyota Motor Manufacturing Plant, San Antonio, Bexar County, Texas"
"232","An Archaeological Assessment of the Drainage Improvement Area on the Northeast Side of Alamo Hall, and Home of Former Mayor Wilhelm Thielepape (41BX507), San Antonio, Texas"
"233","Archaeological Testing of Historic Sites to be Affected by Construction of IH 410 Through the San Antonio Missions National Park City of San Antonio, Bexar County, Texas"
"234","Archaeological Investigations at the Christopher Columbus Italian Society Property and Columbus Park: 41BX1968, the Possible First Site of Mission San Antonio de Valero"
"235","New Home Cemetery (41FB334): Archaeological Search Exhumation, and Reinterment of Multiple Historic Graves along FM 1464, Sugar Land, Fort Bend County, Texas"
"236","The UTSA Boulevard Project: Archaeological Survey Along Leon Creek in Northwest San Antonio, Texas"
"237","The UTSA Boulevard Project: Archaeological Survey Along Leon Creek in Northwest San Antonio, Texas"
"238","Laredo, Texas: Gateway Community on the Texas Borderlands, Archaeological and Historical Investigations for the Laredo City Toll Plaza"
"239","Laredo, Texas: Gateway Community on the Texas Borderlands, Archaeological and Historical Investigations for the Laredo City Toll Plaza"
"240","An Archaeological Survey of Power Line Distribution Routes Near Uvalde and Blewett For Rio Grande Electric Cooperative, Inc., Uvalde and Kinney Counties, Texas"
"241","An Archaeological Survey of Power Line Distribution Routes Near Uvalde and Blewett For Rio Grande Electric Cooperative, Inc., Uvalde and Kinney Counties, Texas"
"242","Report on the Archaeological Investigations Conducted Between 1992 and 1993 at the Alamo Sales Museum (41BX6) Bexar County, Texas"
"243","Archaeological Testing and Preliminary Archival Investigations of Four Sites (41TV632, 41TV633, 41TV634 and 41TV635) at Waters Park, Travis County, Texas"
"244","Archaeological Testing and Preliminary Archival Investigations of Four Sites (41TV632, 41TV633, 41TV634 and 41TV635) at Waters Park, Travis County, Texas"
"245","Archaeological Testing and Preliminary Archival Investigations of Four Sites (41TV632, 41TV633, 41TV634 and 41TV635) at Waters Park, Travis County, Texas"
"246","Archaeological Testing and Preliminary Archival Investigations of Four Sites (41TV632, 41TV633, 41TV634 and 41TV635) at Waters Park, Travis County, Texas"
"247","Archaeological Testing and Preliminary Archival Investigations of Four Sites (41TV632, 41TV633, 41TV634 and 41TV635) at Waters Park, Travis County, Texas"
"248","Archaeological Testing and Preliminary Archival Investigations of Four Sites (41TV632, 41TV633, 41TV634 and 41TV635) at Waters Park, Travis County, Texas"
"249","Archaeological Assessments for the San Antonio 201 Wastewater Treatment Project: Survey of Five Pipeline Routes and Testing at Site 41BX333"
"250","Pedestrian Survey and NRHP Eligibility Testing of Sites within a Proposed Detention Facility in Webb County, Texas"
"251","Pedestrian Survey and NRHP Eligibility Testing of Sites within a Proposed Detention Facility in Webb County, Texas"
"252","Pedestrian Survey and NRHP Eligibility Testing of Sites within a Proposed Detention Facility in Webb County, Texas"
"253","Pedestrian Survey and NRHP Eligibility Testing of Sites within a Proposed Detention Facility in Webb County, Texas"
"254","Pedestrian Survey and NRHP Eligibility Testing of Sites within a Proposed Detention Facility in Webb County, Texas"
"255","Pedestrian Survey and NRHP Eligibility Testing of Sites within a Proposed Detention Facility in Webb County, Texas"
"256","Archaeological and Historical Investigations at the Valenzuela Ranch, Dimmit County, Texas"
"257","National Register of Historic Places Eligibility Testing of Site 41SM385 Within TxDOT's Tyler District, Smith County, Texas"
"258","Intensive Cultural Resources Survey of the Proposed Wurzbach Parkway Extension Project from Blanco Road to Wetmore Road, Bexar County, Texas"
"259","Intensive Cultural Resources Survey of the Proposed Wurzbach Parkway Extension Project from Blanco Road to Wetmore Road, Bexar County, Texas"
"260","Intensive Cultural Resources Survey of the Proposed Wurzbach Parkway Extension Project from Blanco Road to Wetmore Road, Bexar County, Texas"
"261","Intensive Cultural Resources Survey of the Proposed Wurzbach Parkway Extension Project from Blanco Road to Wetmore Road, Bexar County, Texas"
"262","Intensive Cultural Resources Survey of the Proposed Wurzbach Parkway Extension Project from Blanco Road to Wetmore Road, Bexar County, Texas"
"263","Intensive Cultural Resources Survey of the Proposed Wurzbach Parkway Extension Project from Blanco Road to Wetmore Road, Bexar County, Texas"
"264","Intensive Cultural Resources Survey of the Proposed Wurzbach Parkway Extension Project from Blanco Road to Wetmore Road, Bexar County, Texas"
"265","Intensive Cultural Resources Survey of the Proposed Wurzbach Parkway Extension Project from Blanco Road to Wetmore Road, Bexar County, Texas"
"266","Intensive Cultural Resources Survey of the Proposed Wurzbach Parkway Extension Project from Blanco Road to Wetmore Road, Bexar County, Texas"
"267","Archaeological Investigations of the City of San Antonio Nursery and San Antonio Zoo Eagle Railroad Tract Realignment Project, Bexar County, Texas"
"268","Intensive Cultural Resources Survey of the Proposed Wurzbach Parkway Extension Project from Blanco Road to Wetmore Road, Bexar County, Texas"
"269","Intensive Cultural Resources Survey of the Proposed Wurzbach Parkway Extension Project from Blanco Road to Wetmore Road, Bexar County, Texas"
"270","Intensive Cultural Resources Survey of the Proposed Wurzbach Parkway Extension Project from Blanco Road to Wetmore Road, Bexar County, Texas"
"271","Intensive Cultural Resources Survey of the Proposed Wurzbach Parkway Extension Project from Blanco Road to Wetmore Road, Bexar County, Texas"
"272","An Archaeological Survey of the South Salado Creek Greenway: Rigsby Avenue to Southside Lion's Park East, San Antonio, Bexar County, Texas"
"273","Historic Overview and Archival Archaeological Investigations for the San Antonio River Improvements Project: Houston to Lexington Segment"
"274","Historic Overview and Archival Archaeological Investigations for the San Antonio River Improvements Project: Houston to Lexington Segment"
"275","Archaeological Survey at Rancho de las Cabras, San Antonio Missions National Historic Park, 41WN30, Wilson County, Texas"
"276","Archaeological Survey at Rancho de las Cabras, San Antonio Missions National Historic Park, 41WN30, Wilson County, Texas"
"277","Archaeological Survey at Rancho de las Cabras, San Antonio Missions National Historic Park, 41WN30, Wilson County, Texas"
"278","Archaeological Survey at Rancho de las Cabras, San Antonio Missions National Historic Park, 41WN30, Wilson County, Texas"
"279","Archaeological Survey of a Portion of the Proposed Castroville Regional Park Improvement and Expansion, City of Castroville, Medina County, Texas"
"280","Archaeological Survey of Southwest Block and Selected Roads and Firebreaks at Camp Maxey, Lamar County, Texas"
"281","Archaeological Survey of Southwest Block and Selected Roads and Firebreaks at Camp Maxey, Lamar County, Texas"
"282","Archaeological Survey of Southwest Block and Selected Roads and Firebreaks at Camp Maxey, Lamar County, Texas"
"283","Archaeological Survey of Southwest Block and Selected Roads and Firebreaks at Camp Maxey, Lamar County, Texas"
"284","Archaeological Survey of Southwest Block and Selected Roads and Firebreaks at Camp Maxey, Lamar County, Texas"
"285","Archaeological Survey of Southwest Block and Selected Roads and Firebreaks at Camp Maxey, Lamar County, Texas"
"286","Archaeological Survey of Southwest Block and Selected Roads and Firebreaks at Camp Maxey, Lamar County, Texas"
"287","Archaeological Survey of Southwest Block and Selected Roads and Firebreaks at Camp Maxey, Lamar County, Texas"
"288","Archaeological Survey of Southwest Block and Selected Roads and Firebreaks at Camp Maxey, Lamar County, Texas"
"289","Archaeological Survey of Southwest Block and Selected Roads and Firebreaks at Camp Maxey, Lamar County, Texas"
"290","Archaeological Survey of Southwest Block and Selected Roads and Firebreaks at Camp Maxey, Lamar County, Texas"
"291","Archaeological Survey of Southwest Block and Selected Roads and Firebreaks at Camp Maxey, Lamar County, Texas"
"292","Archaeological Survey of Southwest Block and Selected Roads and Firebreaks at Camp Maxey, Lamar County, Texas"
"293","Archaeological Survey of Southwest Block and Selected Roads and Firebreaks at Camp Maxey, Lamar County, Texas"
"294","Archaeological Survey of Southwest Block and Selected Roads and Firebreaks at Camp Maxey, Lamar County, Texas"
"295","Archaeological Survey of Southwest Block and Selected Roads and Firebreaks at Camp Maxey, Lamar County, Texas"
"296","Archaeological Survey of Southwest Block and Selected Roads and Firebreaks at Camp Maxey, Lamar County, Texas"
"297","Archaeological Survey of Southwest Block and Selected Roads and Firebreaks at Camp Maxey, Lamar County, Texas"
"298","Archaeological Survey of Southwest Block and Selected Roads and Firebreaks at Camp Maxey, Lamar County, Texas"
"299","Archaeological Survey of Southwest Block and Selected Roads and Firebreaks at Camp Maxey, Lamar County, Texas"
"300","Results of Archaeological Survey and Limited Archival Research of Fairfield Lake State Park, Freestone County, Texas"
"301","Archaeological Survey of the Proposed Road Improvements at the Lyndon B. Johnson National Historical Park, Johnson City, Gillespie County, Texas"
"302","Archaeological Survey of the Proposed Road Improvements at the Lyndon B. Johnson National Historical Park, Johnson City, Gillespie County, Texas"
"303","Survey and Testing at the Proposed Dos Rios Wastewater Treatment Plant, South Bexar County, Texas. San Antonio 201 Wastewater Treatment Project"
"304","Survey and Testing at the Proposed Dos Rios Wastewater Treatment Plant, South Bexar County, Texas. San Antonio 201 Wastewater Treatment Project"
"305","Archeological Excavation and Reburial of Historic Graves in the Oscar Abstein Cemetery (41HR976), Harris County, Texas"
"306","Preliminary Data Recovery and Mitigation Plan Archaeological Site 41MX5 Morris County US 259: From 2.4 Miles North of FM 44 to 0.5 Miles South of IH 30"
"307","Archeological Investigations at Mission Espíritu Santo (41GD1), Goliad County, Texas"
"308","La Villita Earthworks (41BX677): San Antonio, Texas A Preliminary Report of Investigations of Mexican Siege Works at the Battle of the Alamo"
"309","Intensive Survey and Test Excavations at 41BX1576 A World War II German POW Camp at Camp Bullis Military Reservation, Bexar County, Texas"
"310","Data Recovery Investigations at the Tank Destroyer Site (41CV1378) at Fort Hood, Coryell County, Texas"
"311","The Little Paint Site: A Classic Toyah Camp on the South Llano River, Kimble County, Texas"
"312","Archeological Testing and Monitoring of the Proposed Roma Visitor Complex, City of Roma, Starr County, Texas"
"313","Archeological Testing and Monitoring of the Proposed Roma Visitor Complex, City of Roma, Starr County, Texas"
"314","Archeological Testing and Monitoring of the Proposed Roma Visitor Complex, City of Roma, Starr County, Texas"
"315","Archeological Testing and Monitoring of the Proposed Roma Visitor Complex, City of Roma, Starr County, Texas"
"316","Archeological Testing and Monitoring of the Proposed Roma Visitor Complex, City of Roma, Starr County, Texas"
"317","Archaeological Pedestrian Survey and NRHP Eligibility Testing of 41WB414 for the Killam Lake Wetlands Area on Chacon Creek, Webb County, Texas"
"318","Archaeological Pedestrian Survey and NRHP Eligibility Testing of 41WB414 for the Killam Lake Wetlands Area on Chacon Creek, Webb County, Texas"
"319","National Register Evaluation of Eight Sites at Camp Swift Army National Guard Training Center, Bastrop County, Texas: Swift V"
"320","National Register Evaluation of Eight Sites at Camp Swift Army National Guard Training Center, Bastrop County, Texas: Swift V"
"321","National Register Evaluation of Eight Sites at Camp Swift Army National Guard Training Center, Bastrop County, Texas: Swift V"
"322","National Register Evaluation of Eight Sites at Camp Swift Army National Guard Training Center, Bastrop County, Texas: Swift V"
"323","National Register Evaluation of Eight Sites at Camp Swift Army National Guard Training Center, Bastrop County, Texas: Swift V"
"324","National Register Evaluation of Eight Sites at Camp Swift Army National Guard Training Center, Bastrop County, Texas: Swift V"
"325","National Register Evaluation of Eight Sites at Camp Swift Army National Guard Training Center, Bastrop County, Texas: Swift V"
"326","National Register Evaluation of Eight Sites at Camp Swift Army National Guard Training Center, Bastrop County, Texas: Swift V"
"327","National Register Evaluation of Eight Sites at Camp Swift Army National Guard Training Center, Bastrop County, Texas: Swift V"
"328","Prehistoric Life, Labor, and Residence in Southeast Central Texas: Results of Data Recovery at 48HY163, the Zapotec Site, San Marcos, Texas"
"329","National Register Evaluation of Eight Sites at Camp Swift Army National Guard Training Center, Bastrop County, Texas: Swift V"
"330","An Archaeological Evaluation of Three Prehistoric Sites Upper Cibolo Creek Watershed, Kendall County, Southern Central Texas"
"331","An Archaeological Evaluation of Three Prehistoric Sites Upper Cibolo Creek Watershed, Kendall County, Southern Central Texas"
"332","Excavations at Site 41FY11: Cultural Resource Investigations Along the Proposed Bypass for SH 71, Near La Grange Fayette County, Texas"
"333","Royal Coachman (41CM111) An Early Middle Archaic Site along Cordova Creek in Comal County, Texas"
"334","Eligibility Assessment of the Slippery Slope Site (41MS69) in TxDOT Right-of-Way in Mason County, Texas"
"335","Archaeological  Investigations at the De Zavala Point for the Proposed Penn-Texas Shoreline Improvement Project, Harris County, Texas"
"336","Archaeological Investigations of the Proposed Convention Center and City Hall Project Area in Downtown Bastrop, Bastrop County, Texas"
"337","Archaeological Investigations of the Proposed Convention Center and City Hall Project Area in Downtown Bastrop, Bastrop County, Texas"
"338","Eligibility Testing at Three Prehistoric Sites at Lynch Creek, Lampasas County, Texas"
"339","Eligibility Testing at Three Prehistoric Sites at Lynch Creek, Lampasas County, Texas"
"340","Eligibility Testing at Three Prehistoric Sites at Lynch Creek, Lampasas County, Texas"
"341","Archeological Investigations at the Lang Pasture Site (41AN38) in the Upper Neches River Basin of East Texas"
"342","Testing of a Portion of Site 41WN104 in Advance of Proposed Improvements to Jackson Nature Park, Stockdale, Wilson County, Texas"
"343","An Archaeological Assessment of the Alazan Acequia (41BX620) in the Five Points Area of San Antonio, Bexar County, Texas"
"344","Archeological Testing at 41TR170, along the Clear Fork of the Trinity River, Tarrant County, Texas"
"345","Archaeological Evaluation of Sandy Mantle Prehistoric and Historic Sites at Camp Swift, Bastrop County, Texas: 2003"
"346","Archaeological Evaluation of Sandy Mantle Prehistoric and Historic Sites at Camp Swift, Bastrop County, Texas: 2003"
"347","Excavations at the Bluff Creek Sites: 41MK10 and 41MK27, McColloch County, Texas"
"348","Excavations at the Bluff Creek Sites: 41MK10 and 41MK27, McColloch County, Texas"
"349","Early Human Occupations in South Central and Southwestern Texas: Preliminary Papers on the Baker Cave and St. Mary's Hall Sites"
"350","Archaeological Investigations at Morgan Chapel Cemetery (41BP200), A Historic Cemetery in Bastrop County, Texas"
"351","Archaeological Survey and Archival Research of the Naegelin Tract (41BX1600) in San Antonio, Bexar County, Texas"
"352","Data Recovery at the Hawkwind Site (41HS915) Harrison County, Texas"
"353","Root-Be-Gone (41YN452): Data Recovery of Late Archaic Components in Young County, Texas Vol I"
"354","Root-Be-Gone (41YN452): Data Recovery of Late Archaic Components in Young County, Texas Vol I"
"355","Spanish Colonial Documents Pertaining to Mission Santa Cruz de San Saba (41MN23), Menard County, Texas"
"356","An Initial Archaeological Assessment of Area Proposed for Modification at Fort McIntosh, Webb County, Texas"
"357","Archeological Testing and Data Recovery at the Flatrock Road Site, 41KM69, Kimble County, Texas"
"358","The Gatlin Site (41KR621): Investigating Archaic Lifeways on the Southern Edwards Plateau of Central Texas"
"359","Archaeological Survey of Power Line Routes in Kerr and Kendall Counties, Texas, for the Bandera Electric Cooperative, Inc."
"360","Archeological Survey for the Loop 410 Improvements Project City of San Antonio, Bexar County, Texas"
"361","Archeological Survey for the Loop 410 Improvements Project City of San Antonio, Bexar County, Texas"
